PassengerId,Survived,Pclass,Sex,Age,Fare
94,0,2,female,24.3,7.59
95,1,3,female,24.8,94.62
96,0,3,female,34.8,25.53
97,0,2,male,28.4,80.97
98,0,3,female,37.0,25.68
99,1,3,male,35.3,19.58
100,1,2,female,44.7,11.29
101,1,3,male,42.4,27.97
102,1,3,female,40.8,4.5
103,0,3,male,74.7,68.56
104,1,3,female,34.7,53.04
105,0,3,male,67.3,11.46
106,1,3,male,35.7,91.6
107,0,1,male,28.5,52.32
108,0,2,male,24.3,32.93
109,1,1,female,51.6,3.9
110,0,3,female,53.5,19.52
111,0,2,male,38.4,21.16
112,1,3,female,46.1,7.94
113,0,3,male,11.2,2.5
114,0,3,male,7.2,44.98
115,1,3,female,47.8,3.9
116,1,3,male,27.9,27.06
117,0,3,male,40.6,82.68
118,1,3,female,19.3,62.65
119,1,3,male,53.7,9.76
120,0,2,male,7.4,57.2
121,0,1,male,9.6,0.01
122,1,3,male,50.6,0.54
123,0,3,female,0.0,27.68
124,0,2,female,35.2,13.61
125,0,3,female,28.1,14.66
126,0,3,male,19.0,24.93
127,0,3,male,26.8,6.39
128,0,3,female,17.4,7.14
129,0,3,male,52.1,19.88
130,0,3,male,55.9,42.1
131,1,3,male,19.8,28.99
132,0,3,male,33.7,10.59
133,1,3,female,10.5,16.88
134,0,3,female,45.3,5.61
135,1,1,female,44.9,2.33
136,0,3,male,25.4,45.79
137,1,2,female,29.9,9.25
138,0,1,female,28.3,5.87
139,0,3,male,6.2,35.29
140,1,3,male,52.1,28.87
141,0,3,female,18.6,30.09
142,0,1,female,18.7,7.8
143,0,3,female,27.5,7.94
144,0,3,female,44.1,7.48
145,0,3,male,21.1,5.73
146,0,3,female,1.4,31.99
147,1,3,female,16.8,56.52
148,0,2,male,35.9,38.66
149,0,3,female,61.5,47.12
150,0,2,male,11.4,15.57
151,0,1,male,10.9,31.85
152,0,3,male,7.8,13.12
153,1,2,female,6.0,22.37
154,0,3,female,47.2,19.71
155,0,2,male,51.4,5.84
156,0,3,female,32.3,14.69
157,0,2,female,22.9,99.58
158,1,3,male,55.7,8.57
159,0,3,male,32.2,4.31
160,0,1,female,45.5,16.27
161,1,3,male,22.2,46.87
162,0,3,female,30.3,26.18
163,1,3,female,11.8,34.27
164,0,1,female,38.8,6.31
165,1,3,female,32.5,28.94
166,0,3,male,16.7,11.72
167,1,3,male,16.9,53.93
168,0,3,male,53.1,29.77
169,0,3,male,58.3,6.65
170,0,2,female,26.6,2.0
171,1,3,female,30.7,1.31
172,1,3,male,35.5,13.93
173,1,1,female,31.8,9.27
174,0,3,female,5.4,31.16
175,1,3,female,35.9,20.75
176,0,3,male,0.0,9.28
177,0,3,male,19.1,4.85
178,0,3,male,37.0,4.08
179,1,3,female,38.4,60.0
180,0,3,male,18.0,8.37
181,0,1,male,23.1,31.64
182,1,3,male,21.1,49.93
183,0,3,male,28.2,28.56
184,0,3,male,29.3,58.89
185,0,1,male,39.4,14.95
186,0,1,female,22.2,93.86
187,0,2,female,35.1,4.29
188,0,2,male,37.1,3.23
189,1,3,male,32.6,32.25
190,0,2,female,25.9,85.85
191,0,3,female,32.3,49.65
192,1,3,male,40.6,2.38
193,0,3,male,41.9,9.83
194,0,3,male,56.0,79.91
195,0,3,male,15.3,8.75
196,0,3,female,23.3,45.58
197,0,3,male,6.3,52.31
198,1,2,male,43.2,20.52
199,0,3,male,24.8,14.65
200,0,1,male,32.7,17.94
201,0,1,female,20.9,7.72
202,0,3,female,25.0,66.05
203,1,1,female,47.4,17.97
204,0,3,male,39.8,64.23
205,0,3,male,28.1,3.35
206,0,3,female,40.8,133.38
207,0,3,male,41.2,17.57
208,1,3,male,24.0,1.47
209,0,3,female,8.4,1.16
210,1,2,female,16.7,41.14
211,0,3,female,10.3,32.28
212,1,1,female,46.6,48.6
213,0,3,male,49.1,3.34
214,0,2,male,52.7,1.09
215,1,3,female,0.4,21.31
216,1,1,male,45.2,14.71
217,1,3,female,61.8,18.59
218,0,3,female,45.8,143.34
219,1,3,male,0.0,105.96
220,0,1,female,55.3,85.58
221,1,3,male,30.3,45.95
222,0,3,male,26.3,13.15
223,1,2,male,36.2,15.94
224,1,2,male,14.5,23.93
225,1,3,female,29.7,53.25
226,0,3,male,53.2,2.14
227,0,3,female,38.7,16.56
228,1,3,female,30.5,2.59
229,0,1,female,31.0,21.69
230,1,1,female,12.6,68.75
231,1,1,male,27.5,45.76
232,0,3,male,6.0,7.76
233,1,1,female,44.5,111.88
234,0,1,female,0.0,33.02
235,1,2,male,42.1,0.31
236,1,3,female,43.9,8.85
237,0,3,male,48.8,9.06
238,0,3,female,31.0,2.15
239,1,3,male,43.0,96.44
240,0,3,female,27.4,19.52
241,0,1,female,12.5,67.85
242,0,3,male,51.9,11.67
243,0,3,female,28.3,4.01
244,0,3,female,9.3,19.29
245,0,3,male,22.9,3.63
246,0,3,female,23.5,19.97
247,1,3,male,36.4,75.88
248,0,3,male,63.7,22.07
249,0,3,female,37.3,28.75
250,0,3,female,32.7,5.11
251,0,3,female,65.3,1.34
252,0,1,female,43.9,3.52
253,0,3,female,33.4,27.38
254,1,1,female,22.7,2.99
255,0,3,female,34.3,14.15
256,1,3,male,28.7,23.96
257,1,3,female,31.0,14.76
258,0,3,male,48.8,5.36
259,1,2,female,21.9,9.6
260,1,1,female,37.1,79.07
261,0,3,male,43.5,33.81
262,0,1,female,20.1,20.56
263,1,1,female,17.8,0.38
264,1,3,male,27.5,146.45
265,0,3,female,23.0,33.39
266,1,3,female,46.4,11.43
267,1,1,female,15.2,63.43
268,1,3,male,30.7,8.97
269,1,3,female,66.6,23.56
270,1,3,female,35.7,30.32
271,0,3,female,38.1,7.49
272,0,2,female,46.5,115.05
273,1,3,male,23.0,41.37
274,1,3,male,14.0,24.48
275,0,3,female,32.3,5.98
276,0,3,female,33.5,1.66
277,1,3,male,6.2,11.57
278,0,3,male,35.1,41.97
279,1,3,female,45.2,9.41
280,1,3,male,16.5,23.27
281,1,3,female,36.0,39.05
282,0,3,male,42.6,3.43
283,0,3,male,38.2,34.68
284,0,3,male,39.6,2.89
285,0,3,male,26.2,100.68
286,0,3,female,13.4,20.11
287,0,3,male,23.2,4.9
288,0,3,male,21.2,12.57
289,0,3,female,28.5,16.0
290,0,1,male,45.6,42.59
291,0,1,male,10.7,40.81
292,0,2,female,31.8,28.4
293,1,3,male,14.3,3.36
294,1,1,female,19.0,4.93
295,0,1,female,37.8,2.95
296,1,1,female,12.4,25.82
297,0,1,female,40.3,62.9
298,1,1,male,10.1,17.06
299,0,3,female,39.4,5.26
300,1,3,male,7.2,24.5
